num_CL1,num_AP,AWTY_interval,S_d1,S_dAP,S_s1,mean,lower,upper,
10,10,1e-05,0.02,0.01,0.04,0.48985322514590396,0.47564378724965145,0.5040626630421564
10,10,0.01,0.02,0.01,0.04,0.47681560614173685,0.4685151634437385,0.4851160488397352
10,10,0.02,0.02,0.01,0.04,0.4711018561989049,0.4624521245111578,0.47975158788665195
10,10,0.03,0.02,0.01,0.04,0.4606102599696156,0.44768801873319314,0.473532501206038
10,10,0.04,0.02,0.01,0.04,0.45552917682895494,0.44969244547235915,0.46136590818555073
10,10,0.05,0.02,0.01,0.04,0.44895289328318966,0.4362924373407658,0.46161334922561353
10,10,0.06000000000000001,0.02,0.01,0.04,0.44073776256465197,0.4342924766979904,0.4471830484313135
10,10,0.06999999999999999,0.02,0.01,0.04,0.4336156084188684,0.42157818626714005,0.4456530305705968
10,10,0.08,0.02,0.01,0.04,0.4306437418069047,0.417744055653243,0.44354342796056634
10,10,0.09,0.02,0.01,0.04,0.42710805531129764,0.41947577372135847,0.4347403369012368
10,10,0.1,0.02,0.01,0.04,0.4240078391801376,0.41742778283426885,0.4305878955260064
10,10,0.10999999999999999,0.02,0.01,0.04,0.4207691492390492,0.4112210305440252,0.43031726793407316
10,10,0.12,0.02,0.01,0.04,0.4178237908170863,0.41065408871921016,0.42499349291496247
10,10,0.13,0.02,0.01,0.04,0.41796486122805876,0.40584466720005574,0.4300850552560618
10,10,0.14,0.02,0.01,0.04,0.41306665561636585,0.407620385509295,0.4185129257234367
10,10,0.15000000000000002,0.02,0.01,0.04,0.4092943052308039,0.40105577788871904,0.41753283257288876
10,10,0.16,0.02,0.01,0.04,0.41143532712594033,0.4036007511977025,0.41926990305417816
10,10,0.17,0.02,0.01,0.04,0.41075296697967634,0.40349845189765593,0.41800748206169674
10,10,0.18000000000000005,0.02,0.01,0.04,0.40742651467051544,0.3981389375288087,0.4167140918122222
10,10,0.18999999999999997,0.02,0.01,0.04,0.40566133726170195,0.3988811239648662,0.4124415505585377
10,10,0.2,0.02,0.01,0.04,0.40800907394668756,0.40046924605573564,0.4155489018376395
10,10,0.21,0.02,0.01,0.04,0.4060272977955207,0.3988202976838458,0.4132342979071956
10,10,0.21999999999999997,0.02,0.01,0.04,0.4075763254917822,0.39537844673195643,0.41977420425160794
10,10,0.23,0.02,0.01,0.04,0.40456723620946433,0.3960523413928419,0.41308213102608676
10,10,0.24000000000000005,0.02,0.01,0.04,0.3991010617926454,0.38904314725563083,0.4091589763296599
10,10,0.25,0.02,0.01,0.04,0.4033640773605977,0.3962024546819057,0.41052570003928973
10,10,0.26,0.02,0.01,0.04,0.4074025724564883,0.3991647303746861,0.41564041453829054
10,10,0.27,0.02,0.01,0.04,0.3996285864036153,0.3876687653858555,0.41158840742137515
10,10,0.28,0.02,0.01,0.04,0.40170576163597316,0.3929587721762519,0.4104527510956944
10,10,0.29000000000000004,0.02,0.01,0.04,0.40076096099337344,0.39473750088243925,0.4067844211043076
10,10,0.3,0.02,0.01,0.04,0.4035090074451141,0.3918881431245955,0.41512987176563265
10,10,0.31,0.02,0.01,0.04,0.396520514863258,0.38547771470519027,0.40756331502132576
10,10,0.32,0.02,0.01,0.04,0.40054741513531245,0.3934628209559881,0.4076320093146368
10,10,0.33,0.02,0.01,0.04,0.40024060175892795,0.3917687369183736,0.4087124665994823
10,10,0.34,0.02,0.01,0.04,0.4024575460901511,0.39462437939773204,0.4102907127825702
10,10,0.35000000000000003,0.02,0.01,0.04,0.40188959622913295,0.3941880430874527,0.4095911493708132
10,10,0.3600000000000001,0.02,0.01,0.04,0.39966858202081246,0.3885179879679868,0.4108191760736381
10,10,0.37,0.02,0.01,0.04,0.4057496767779202,0.3989228787298169,0.41257647482602344
10,10,0.37999999999999995,0.02,0.01,0.04,0.39802395619914616,0.39090709108533434,0.405140821312958
10,10,0.39,0.02,0.01,0.04,0.40370539124312044,0.39653319344776095,0.41087758903847993
