num_polling,num_status,num_actor,num_data,Z_polling,Z_status,Z_actor,S_ctrl_polling,S_ctrl_analysis,S_ctrl_status,S_ctrl_exception,S_ctrl_actor,num_server_ctrl,S_db_analysis,S_db_actor,S_sensors_status,Z_data,prob_status_exception,prob_status_status,Xctrl_polling_mean,Xctrl_polling_low,Xctrl_polling_up,Xctrl_analysis_mean,Xctrl_analysis_low,Xctrl_analysis_up,Xctrl_status_mean,Xctrl_status_low,Xctrl_status_up,Xctrl_exception_mean,Xctrl_exception_low,Xctrl_exception_up,Xctrl_actor_mean,Xctrl_actor_low,Xctrl_actor_up,XgenData_data_mean,XgenData_data_low,XgenData_data_up,Rctrl_polling_mean,Rctrl_polling_low,Rctrl_polling_up,Rctrl_analysis_mean,Rctrl_analysis_low,Rctrl_analysis_up,Rdb_analysis_mean,Rdb_analysis_low,Rdb_analysis_up,Rctrl_status_mean,Rctrl_status_low,Rctrl_status_up,Rsensors_status_mean,Rsensors_status_low,Rsensors_status_up,Rctrl_exception_mean,Rctrl_exception_low,Rctrl_exception_up,Rctrl_actor_mean,Rctrl_actor_low,Rctrl_actor_up,Rdb_actor_mean,Rdb_actor_low,Rdb_actor_up,Uctrl_polling_mean,Uctrl_polling_low,Uctrl_polling_up,Uctrl_analysis_mean,Uctrl_analysis_low,Uctrl_analysis_up,Uctrl_status_mean,Uctrl_status_low,Uctrl_status_up,Uctrl_exception_mean,Uctrl_exception_low,Uctrl_exception_up,Uctrl_actor_mean,Uctrl_actor_low,Uctrl_actor_up
1,1,1,1,0.0001,0.0001,0.03,0.0001,0.01845,0.0001,0.005,0.00216,2,0.0018,0.0012,0.001,0.06,0.0,1.0,3364.2159368025573,3279.344598407709,3453.597029072074,15.588917674434628,15.236965036441172,15.957513988103283,833.3644624737462,812.6797643168097,855.1296136691544,0.0,0.0,0.0,30.365746137350623,29.641845145647963,31.125889860763284,16.837596687511958,16.50183451902416,17.18730611929824,1.0024920378881869E-4,9.763036968840726E-5,1.0286803788923012E-4,0.018559450600998922,0.018039544889891648,0.019079356312106197,0.0018087136549347937,0.001763166778306527,0.0018542605315630604,1.0283827144273847E-4,9.992913683426572E-5,1.0574740605121121E-4,9.915477862352316E-4,9.690306125156079E-4,0.0010140649599548555,0.0,0.0,0.0,0.0022029341732132885,0.002158885174983524,0.002246983171443053,0.0012095977621892672,0.0011735226660393692,0.0012456728583391651,0.16323757228843835,0.158510133230361,0.1679650113465157,0.15863926651706403,0.15025695443910872,0.16702157859501934,0.04174529482217676,0.040955000027749745,0.042535589616603774,0.0,0.0,0.0,0.032417695849265876,0.030554758531613182,0.03428063316691857
1,1,1,1,0.0001,0.0001,0.03,0.0001,0.018770000000000002,0.0001,0.005,0.00216,2,0.0018,0.0012,0.001,0.06,0.0,1.0,3442.0083145542944,3359.51074916367,3528.6595698532055,15.352904620531264,14.950443776362919,15.777633119513837,821.1233546183663,803.3494046737565,839.7015896121887,0.0,0.0,0.0,29.79663487383892,29.092539871535905,30.53565604237271,16.562505448506922,16.245751200027968,16.891857257803373,9.808476615415617E-5,9.521575982479731E-5,1.0095377248351503E-4,0.018581734731938446,0.018024832888190893,0.019138636575686,0.0017988496344291756,0.0017579726479095437,0.0018397266209488074,1.0242654547279945E-4,1.0045964443113398E-4,1.0439344651446493E-4,0.0010070369719008276,9.832103738236597E-4,0.0010308635699779955,0.0,0.0,0.0,0.0021885366724009674,0.0021384910177528545,0.0022385823270490803,0.0011847240218314425,0.0011677057097671797,0.0012017423338957054,0.17082776031931185,0.16684782385573782,0.17480769678288588,0.14335654384420282,0.13587159399595947,0.15084149369244618,0.04149075172734593,0.040417400949353664,0.0425641025053382,0.0,0.0,0.0,0.032684001709047415,0.031008025025845428,0.0343599783922494
1,1,1,1,0.0001,0.0001,0.03,0.0001,0.019090000000000003,0.0001,0.005,0.00216,2,0.0018,0.0012,0.001,0.06,0.0,1.0,3395.8666708513297,3315.3666615328416,3480.373183186467,15.314322978178799,15.003911618270172,15.637849689864208,837.0779028774976,814.5506021125562,860.8866792729935,0.0,0.0,0.0,29.491983808022958,28.844313514792837,30.169407771251073,16.64158388351875,16.227705002109783,17.077126810955402,9.95549119793166E-5,9.816553206846949E-5,1.009442918901637E-4,0.019110390067465545,0.018627363362838767,0.019593416772092323,0.0017979421329045904,0.0017589623982786327,0.001836921867530548,1.0273664114992434E-4,9.998861934334372E-5,1.0548466295650497E-4,9.929278939929524E-4,9.759863579325084E-4,0.0010098694300533964,0.0,0.0,0.0,0.0021889168397086537,0.0021257672545830324,0.002252066424834275,0.001204901010418145,0.0011736067690138105,0.0012361952518224796,0.16608089434191262,0.1612860096813579,0.17087577900246734,0.14522424060936662,0.13828427109716834,0.1521642101215649,0.042184428924464966,0.04130106485555109,0.043067792993378845,0.0,0.0,0.0,0.03130768769640963,0.029579473940465298,0.033035901452353966
1,1,1,1,0.0001,0.0001,0.03,0.0001,0.01941,0.0001,0.005,0.00216,2,0.0018,0.0012,0.001,0.06,0.0,1.0,3280.416448932622,3212.5211532360654,3351.2435854182327,15.228989753853808,14.815509924557793,15.666211453997729,829.9505911462516,806.1215437938095,855.2313295229792,0.0,0.0,0.0,30.083025046662634,29.465029303761796,30.727499681227517,16.590529146853928,16.152350940143318,17.053143910816786,9.981649174255539E-5,9.735474806711234E-5,1.0227823541799844E-4,0.019381067702329766,0.018804243520911552,0.01995789188374798,0.001820646699215923,0.0017741608628105213,0.0018671325356213247,1.0240647010762336E-4,9.998533088376091E-5,1.048276093314858E-4,0.0010006480616174271,9.718942114111228E-4,0.0010294019118237314,0.0,0.0,0.0,0.0022391673907332303,0.0021736295349764614,0.002304705246489999,0.0011884245482225546,0.0011548184622682909,0.0012220306341768183,0.16342578988305265,0.15947843700470496,0.16737314276140033,0.15517534403697547,0.14647182711173692,0.16387886096221402,0.04188445101408272,0.04066046441860219,0.04310843760956325,0.0,0.0,0.0,0.03346772686630894,0.03181146879637131,0.03512398493624656
1,1,1,1,0.0001,0.0001,0.03,0.0001,0.01973,0.0001,0.005,0.00216,2,0.0018,0.0012,0.001,0.06,0.0,1.0,3387.795450756933,3297.2887963230246,3483.4109364954793,15.322565984937853,14.940847226142646,15.72430094334871,832.0198571638922,811.4834520687525,853.622689994859,0.0,0.0,0.0,29.838071496305655,29.021095041038468,30.702377955978488,16.86061539240713,16.394739916054053,17.3537420215701,9.93363084329056E-5,9.704448356101584E-5,1.0162813330479535E-4,0.01958793860083032,0.01906806566559975,0.020107811536060886,0.001783047678492558,0.001729589897595944,0.0018365054593891719,1.0345256123638721E-4,1.0082828364636252E-4,1.060768388264119E-4,9.97688799662279E-4,9.705496121014298E-4,0.001024827987223128,0.0,0.0,0.0,0.0022090881271249036,0.002161907685810788,0.002256268568439019,0.0012145890899615867,0.0011809914490735099,0.0012481867308496634,0.16847799743012357,0.16413222318764653,0.1728237716726006,0.14635072186902465,0.13828669458659615,0.15441474915145315,0.04180277103320467,0.04101306467473378,0.042592477391675564,0.0,0.0,0.0,0.03292929019017539,0.031503035057437845,0.034355545322912934
1,1,1,1,0.0001,0.0001,0.03,0.0001,0.020050000000000002,0.0001,0.005,0.00216,2,0.0018,0.0012,0.001,0.06,0.0,1.0,3365.756558745688,3287.1708356098266,3448.1917766989236,15.17494029840879,14.752738514892947,15.622019635270375,838.0296476609662,818.052557200953,859.006854425462,0.0,0.0,0.0,29.86428567629108,29.14901008775601,30.61554803733879,16.458357629194847,15.998441530095878,16.9454993256196,1.0086883694378397E-4,9.86304714555138E-5,1.0310720243205414E-4,0.020229771550892107,0.019943438931279832,0.02051610417050438,0.0017902061153904213,0.0017418782546700087,0.001838533976110834,1.0158278108899432E-4,9.992617246176028E-5,1.0323938971622837E-4,9.90786331731301E-4,9.684593557683775E-4,0.0010131133076942246,0.0,0.0,0.0,0.002223220503875683,0.0021748960237000545,0.0022715449840513117,0.0012048952590613604,0.001178345923180041,0.0012314445949426797,0.16741729926080134,0.16229972213215477,0.17253487638944792,0.15057720095215626,0.14299699252262363,0.1581574093816889,0.04165176961275957,0.04048853380717472,0.04281500541834442,0.0,0.0,0.0,0.03290054712943632,0.03121802547888466,0.03458306877998797
1,1,1,1,0.0001,0.0001,0.03,0.0001,0.020370000000000003,0.0001,0.005,0.00216,2,0.0018,0.0012,0.001,0.06,0.0,1.0,3296.492156930017,3202.3235710830013,3396.366843407502,15.012021266841089,14.651933487333146,15.390254107750017,841.9584071672355,818.207776710546,867.1291077932226,0.0,0.0,0.0,30.13218705751527,29.285446107634193,31.029350150896086,16.608503837635283,16.145550655766197,17.098789946841112,1.0107702132812772E-4,9.93768867739755E-5,1.0277715588227994E-4,0.020414666916087728,0.02012690694319371,0.020702426888981745,0.0017771154028655878,0.0017307107249641624,0.0018235200807670132,1.024315639798868E-4,9.961234963749312E-5,1.0525077832228047E-4,0.001003541750151019,9.875692362688025E-4,0.0010195142640332354,0.0,0.0,0.0,0.002235158365215085,0.002170051705323772,0.0023002650251063976,0.0012000556030218545,0.0011668113880359046,0.0012332998180078043,0.1626664315444264,0.15842328761911922,0.16690957546973356,0.15840745851913732,0.15044045370481482,0.16637446333345982,0.04239823715540263,0.041155556519972145,0.04364091779083311,0.0,0.0,0.0,0.0342646138625461,0.03250218513907756,0.03602704258601465
1,1,1,1,0.0001,0.0001,0.03,0.0001,0.02069,0.0001,0.005,0.00216,2,0.0018,0.0012,0.001,0.06,0.0,1.0,3315.948016428368,3222.94871400712,3414.473842836761,15.175801851424307,14.754511162267061,15.621858202297783,835.4573669893937,811.5615570021887,860.8030552710618,0.0,0.0,0.0,30.060318270596174,29.302331801760516,30.858560942910092,16.46500666454544,16.007982581488008,16.948893530693134,1.0019045770746985E-4,9.754228087703929E-5,1.0283863453790042E-4,0.020739645380721594,0.020206555531299235,0.021272735230143953,0.0017762472447930048,0.0017242503594699875,0.001828244130116022,1.0183344129626323E-4,9.877892583337922E-5,1.0488795675914724E-4,9.924290297373814E-4,9.685767236840372E-4,0.0010162813357907255,0.0,0.0,0.0,0.0022309911840377506,0.0021970189778149213,0.00226496339026058,0.0011934464154081629,0.0011611891821316184,0.0012257036486847074,0.1624568628237433,0.15842312836036848,0.16649059728711813,0.16290698681232085,0.15547058348926832,0.1703433901353734,0.04159493290370043,0.040877492473911536,0.04231237333348932,0.0,0.0,0.0,0.032764448460448195,0.030836520356925568,0.034692376563970825
1,1,1,1,0.0001,0.0001,0.03,0.0001,0.02101,0.0001,0.005,0.00216,2,0.0018,0.0012,0.001,0.06,0.0,1.0,3310.1975131078466,3229.295825652853,3395.256928436652,15.206858762362291,14.85700048152492,15.57359160263766,836.9560733862264,814.2182216945813,861.0003627840888,0.0,0.0,0.0,29.970353623720367,29.333340185119994,30.635648460462168,16.718936402291703,16.337919564422208,17.118148980679003,9.986986717683197E-5,9.735387987907391E-5,1.0238585447459003E-4,0.020726314545302976,0.020161074186342855,0.021291554904263096,0.0017988970134995947,0.0017714069685887395,0.00182638705841045,1.0186467082306669E-4,9.888187526403233E-5,1.0484746638210105E-4,9.92898903968035E-4,9.631202814130168E-4,0.0010226775265230533,0.0,0.0,0.0,0.0022218164306437556,0.0021650904843720834,0.002278542376915428,0.0012060193809751033,0.0011726774842069306,0.0012393612777432759,0.16372855853099036,0.15890073906238353,0.1685563779995972,0.15315606396553946,0.14580180119257255,0.16051032673850638,0.04174547924135089,0.0405418515434323,0.04294910693926948,0.0,0.0,0.0,0.032623207806132024,0.030626624182901407,0.03461979142936264
1,1,1,1,0.0001,0.0001,0.03,0.0001,0.021330000000000002,0.0001,0.005,0.00216,2,0.0018,0.0012,0.001,0.06,0.0,1.0,3253.5613373447654,3175.324146554339,3335.751312225665,15.028504143034034,14.682263461677726,15.391469492209739,833.3561802570409,811.4215522786394,856.5096451527918,0.0,0.0,0.0,30.3643165212345,29.490986806331037,31.290949327197914,16.569366438073313,16.171832932760687,16.986936698561404,1.0034943493470643E-4,9.849604914658678E-5,1.0220282072282607E-4,0.021141957250860276,0.020592960130737633,0.02169095437098292,0.0018106929314458617,0.001784714970793323,0.0018366708920984002,1.0197789398535995E-4,1.0025294058740717E-4,1.0370284738331272E-4,0.0010077107515163626,9.808703410626005E-4,0.0010345511619701247,0.0,0.0,0.0,0.0021988751414492367,0.0021460452608308075,0.002251705022067666,0.0011945644688491788,0.0011612420248638714,0.0012278869128344862,0.16342942765382645,0.15880068748397744,0.16805816782367547,0.1583325517870295,0.14969968653167096,0.16696541704238807,0.04112356865027067,0.040293708254190416,0.041953429046350924,0.0,0.0,0.0,0.034065383936414825,0.032317135935489,0.03581363193734065
